actual_class,tf_predicted_class,tf_predicted_prob,tf_match,tf_predicted_features,cnn_predicted_class,cnn_predicted_prob,cnn_match,cnn_predicted_features,fusion_predicted_class,fusion_predicted_prob,fusion_match
0,0.0,0.7185751050841291,1,"[0.7185751050841291, 0.04216188872401173, 0.004503784252313294, 0.016912894775351652, 0.004111556232836454, 0.01855329700262002, 0.02186051752137898, 0.02806250708786038, 0.025357499634689872, 0.11990094968480847]",0,1.0,1,"[1.0, 1.7161817314079423e-19, 1.823544136872468e-12, 1.1395118357544341e-15, 3.00655469593547e-17, 4.181538656864358e-15, 3.655512958941292e-18, 1.49571162321308e-17, 8.294203518444121e-11, 1.6195959820133092e-17]",0,0.8592875525420646,1
0,0.0,0.794785431768409,1,"[0.794785431768409, 0.03351695722728846, 0.003742531009180222, 0.012414662081648388, 0.0034925868298272176, 0.017485310816972188, 0.016240149885781666, 0.02444419404336335, 0.010567516587494604, 0.08331065975003497]",0,0.9999890327453613,1,"[0.9999890327453613, 1.1673871938566727e-11, 6.741554869904576e-08, 2.0969010972038404e-09, 1.3190250003347614e-09, 4.456822111365e-08, 1.4702183914749867e-10, 4.828795141520459e-10, 1.0803335499076638e-05, 1.1731243754198317e-10]",0,0.8973872322568852,1
0,0.0,0.8007330279681967,1,"[0.8007330279681967, 0.03509246750337732, 0.004003817703803173, 0.014347510002302133, 0.0037584695636771978, 0.021373983463678217, 0.015429987059652997, 0.028006555156406578, 0.013191141181455916, 0.06406304039744984]",0,0.9975674152374268,1,"[0.9975674152374268, 6.861218480480602e-06, 0.0009516074787825346, 0.00016282607975881547, 5.9686190070351586e-05, 0.00023022852838039398, 1.1053170965169556e-05, 3.861005825456232e-05, 0.0009572663111612201, 1.4493704838969279e-05]",0,0.8991502216028118,1
0,0.0,0.6384571313021484,1,"[0.6384571313021484, 0.05405814310390209, 0.005761646890389885, 0.03215112834197592, 0.005585028466684686, 0.02204210645799448, 0.020846344229453983, 0.060810071698022494, 0.05055186425177203, 0.10973653525765611]",0,0.945843517780304,1,"[0.945843517780304, 0.0008159882272593677, 0.00975575391203165, 0.003277960466220975, 0.0024048592895269394, 0.006274024955928326, 0.0012125292560085654, 0.0023434169124811888, 0.02693335898220539, 0.0011385470861569047]",0,0.7921503245412262,1
0,0.0,0.868695214994677,1,"[0.868695214994677, 0.014581616121069776, 0.00647750765690103, 0.005725621999837296, 0.007535631839880392, 0.021253920059207898, 0.011227810774838167, 0.03887348356817889, 0.005350150514406891, 0.02027904247100291]",0,0.953407347202301,1,"[0.953407347202301, 0.0002954614465124905, 0.006322044879198074, 0.0030855643562972546, 0.0019630836322903633, 0.012081395834684372, 0.0005721445777453482, 0.0016525329556316137, 0.02028830535709858, 0.0003321091062389314]",0,0.911051281098489,1
0,0.0,0.76392118333872,1,"[0.76392118333872, 0.04662353693535336, 0.00404623806802982, 0.017341774065666064, 0.010455106027758617, 0.019981205846393575, 0.03260213377646725, 0.020062872435984244, 0.007625264484984138, 0.07734068502064322]",0,0.9999920129776001,1,"[0.9999920129776001, 5.406942116259472e-10, 2.390071813351824e-06, 7.43728421070955e-08, 1.0008775142011928e-08, 6.540959418543935e-08, 1.9847836707498345e-09, 6.05910788209485e-09, 5.464332843985176e-06, 3.993627650800136e-09]",0,0.8819565981581601,1
0,0.0,0.6922615791452488,1,"[0.6922615791452488, 0.048690659469895196, 0.004518801377872352, 0.014333150611100312, 0.010547775032965017, 0.02315253787153976, 0.05263946124210799, 0.01890275650592025, 0.0069173174023685865, 0.12803596134098172]",0,1.0,1,"[1.0, 4.0142331326391625e-16, 7.122775702583795e-10, 2.2299447444834586e-12, 7.245907433089949e-14, 1.5542867557241657e-12, 3.913489574991578e-15, 2.4807911123579315e-14, 1.3610823579313092e-09, 1.4180190428445504e-14]",0,0.8461307895726244,1
0,0.0,0.7095165059266625,1,"[0.7095165059266625, 0.04408526021761196, 0.0045639288122558234, 0.016358630809364595, 0.011191128072629451, 0.018821999881437283, 0.04147078028533872, 0.02161432150980459, 0.009945336179552858, 0.12243210830534236]",0,1.0,1,"[1.0, 1.098197679125775e-29, 2.8593458290947152e-18, 3.590684688020895e-23, 4.061933547834827e-26, 3.438681289004393e-23, 1.217674503646177e-27, 1.0912629524805114e-26, 5.613919969186729e-17, 1.3103224614009932e-26]",0,0.8547582529633313,1
0,0.0,0.6998176919059433,1,"[0.6998176919059433, 0.04668480459389633, 0.005169689816568118, 0.02953395555097397, 0.00453509654458487, 0.02028204807254289, 0.017891494769899544, 0.05856826869456221, 0.026755623905700233, 0.09076132614532871]",0,1.0,1,"[1.0, 1.3364141099368818e-14, 8.36818081495494e-09, 7.353401915155544e-11, 2.1281446657001046e-12, 2.0910479944791227e-11, 9.792761355509674e-14, 6.089124430369575e-13, 6.45613917882315e-09, 2.5934243359608533e-13]",0,0.8499088459529717,1
0,0.0,0.8070067717669065,1,"[0.8070067717669065, 0.03902586185060271, 0.0035664693389869575, 0.010371916910784635, 0.0036555820979006317, 0.015525225067314812, 0.03478369649075462, 0.023533318950959354, 0.006164753621556692, 0.05636640390423326]",0,0.9997926354408264,1,"[0.9997926354408264, 1.3305294999099715e-07, 7.115807966329157e-05, 5.391583272285061e-06, 1.2857248066211469e-06, 4.9807954383140896e-06, 3.356115598762699e-07, 8.956540682447667e-07, 0.0001226174645125866, 5.09907465584547e-07]",0,0.9033997036038665,1
